"Epic Placeholder","Epic Summary","Jira Epic Key"
"EPIC-0","Epic 0: Foundation & Shared Platform","FIX-16"
"EPIC-1","Epic 1: Channel Auth & Session Platform","FIX-17"
"EPIC-2","Epic 2: Account Domain & Inquiry APIs","FIX-18"
"EPIC-3","Epic 3: External Gateway Contract (FEP)","FIX-19"
"EPIC-4","Epic 4: Channel Transfer Session & OTP FSM","FIX-20"
"EPIC-5","Epic 5: Account Ledger, Limits, Idempotency, Concurrency","FIX-21"
"EPIC-6","Epic 6: External Resilience, Chaos, Replay/Recovery Ops","FIX-22"
"EPIC-7","Epic 7: Channel Notifications, Admin, Channel Security","FIX-23"
"EPIC-8","Epic 8: Cross-system Security, Audit, Observability","FIX-24"
"EPIC-9","Epic 9: Integration Orchestration & End-to-End Recovery","FIX-25"
"EPIC-10","Epic 10: Full Validation & Release Readiness","FIX-26"
